FIPS,Recip_County,Recip_State,Series_Complete_Pop_Pct,Series_Complete_Yes,
5019,Clark County,AR,45,10045,
48471,Walker County,TX,43.8,31961,
9003,Hartford County,CT,68.6,611753,
18125,Pike County,IN,54.1,6697,
13243,Randolph County,GA,19.7,1332,
6109,Tuolumne County,CA,55.1,30011,
29129,Mercer County,MO,32.3,1168,
21179,Nelson County,KY,46.8,21623,
37157,Rockingham County,NC,45.6,41457,
29115,Linn County,MO,42.6,5082,
20159,Rice County,KS,40.2,3831,
31153,Sarpy County,NE,57.2,107087,
48035,Bosque County,TX,42.1,7872,
9015,Windham County,CT,58.5,68352,
12029,Dixie County,FL,31.7,5327,
1107,Pickens County,AL,44.6,8883,
